id,pais,iso_3,nivel,entidade,regiao,ano,data_completa,status,fonte,tipo_evidencia,cor_mapa,url_documento,url_referencia,fator_risco_wwa,justificativa,observacoes,verificado,adm1_ne_id,lat,lon
1821,Estados Unidos,USA,municipal,Sudbury Town Meeting,Massachusetts,2022.0,4 May 2022,ativo,CEDAMIA,declaracao-formal,amarelo,https://sudbury.ma.us/clerk/2022/05/05/2022-annual-town-meeting-result/,https://patch.com/massachusetts/sudbury/sudbury-declares-climate-emergency-creates-sustainability-position,,,CE & mobilisation,False,1159312157.0,42.3834278,-71.4161725
1822,Estados Unidos,USA,municipal,Surfside Town Council,Florida,2019.0,10 Dec 2019,ativo,CEDAMIA,declaracao-formal,amarelo,,https://www.nbcmiami.com/news/national-international/changing-climate/town-of-surfside-declares-climate-emergency/2162065/,,,CE & mobilisation,False,1159315207.0,25.8784285,-80.1256007
1823,Estados Unidos,USA,municipal,Tacoma City Council,Washington,2019.0,10 Dec 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2019/12/Tacoma-Resolution-No.pdf,,,,CE & mobilisation,False,1159309547.0,47.2455013,-122.438329
1824,Estados Unidos,USA,municipal,Takoma Park City Council,Maryland,2019.0,13 Mar 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://documents.takomaparkmd.gov/government/city-council/agendas/2019/climate-resolution-ver2-clean.pdf,https://www.washingtonpost.com/local/md-politics/takoma-park-fossil-fuel-ban/2020/02/20/307f7c44-5341-11ea-929a-64efa7482a77_story.html,,,Declared CE,False,1159315329.0,38.9778882,-77.0074765
1825,Estados Unidos,USA,municipal,Taos County Council,New Mexico,2019.0,17 Sep 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://docs.google.com/gview?url=https%3A%2F%2Ftaoscounty.granicus.com%2FDocumentViewer.php%3Ffile%3Dtaoscounty_80218af9-1f0a-4349-822d-766078281062.pdf%26view%3D1&embedded=true,,,,Declared CE,False,1159315347.0,36.4072377,-105.573284
1826,Estados Unidos,USA,municipal,Thurston County,Washington,2021.0,16 Feb 2021,ativo,CEDAMIA,declaracao-formal,amarelo,,https://www.theolympian.com/news/local/article249218220.html,,,CE & mobilisation,False,1159309547.0,46.9319983,-122.8855155
1827,Estados Unidos,USA,municipal,Tiburon Town Council,California,2021.0,31 Mar 2021,ativo,CEDAMIA,declaracao-formal,amarelo,,https://www.marinij.com/2021/04/13/tiburon-council-adopts-climate-emergency-resolution/,,,Declared CE,False,1159308415.0,37.8775332,-122.460808
1828,Estados Unidos,USA,municipal,Travis County,Texas,2019.0,20 Aug 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2020/06/Travis-County-Attachment-47298.pdf,https://www.statesman.com/news/20200602/travis-county-approves-first-climate-action-plan,,,Declared CE,False,1159315211.0,30.2878569,-97.7561392
1829,Estados Unidos,USA,municipal,Truro Town Meeting,Massachusetts,2020.0,26 Sep 2020,ativo,CEDAMIA,declaracao-formal,amarelo,,https://www.capecod.com/newscenter/climate-emergency-declarations-pass-in-seven-cape-towns/,,,Declared CE,False,1159312157.0,41.993437,-70.0497457
1830,Estados Unidos,USA,municipal,Tucson City Council,Arizona,2020.0,9 Sep 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://tucsonaz.onbaseonline.com/1801AgendaOnline/Documents/ViewDocument/RESOLUTION%2023222.pdf?meetingId=1415&documentType=Agenda&itemId=58819&publishId=59489&isSection=false,https://www.kold.com/2020/09/10/tucson-declares-climate-emergency-council-commits-implementing-ten-year-plan-change/,,,Climate & Ecological,False,1159315341.0,32.2228765,-110.974847
